S 7
W 0 8
R 0 8
W 8 8
R 8 8
W 16 8
R 16 8
W 24 8
R 24 8
W 32 8
R 32 8
W 40 8
R 40 8
W 48 8
R 48 8
W 56 8
R 56 8
W 64 8
R 64 8
W 72 8
R 72 8
W 80 8
R 80 8
W 88 8
R 88 8
W 96 8
R 96 8
W 104 8
R 104 8
W 112 8
R 112 8
W 120 8
R 120 8
W 128 8
R 128 8
W 136 8
R 136 8
W 144 8
R 144 8
W 152 8
R 152 8
W 160 8
R 160 8
W 168 8
R 168 8
W 176 8
R 176 8
W 184 8
R 184 8
W 192 8
R 192 8
W 200 8
R 200 8
W 208 8
R 208 8
W 216 8
R 216 8
W 224 8
R 224 8
W 232 8
R 232 8
W 240 8
R 240 8
W 248 8
R 248 8
W 256 8
R 256 8
W 264 8
R 264 8
W 272 8
R 272 8
W 280 8
R 280 8
W 288 8
R 288 8
W 296 8
R 296 8
W 304 8
R 304 8
W 312 8
R 312 8
W 320 8
R 320 8
W 328 8
R 328 8
W 336 8
R 336 8
W 344 8
R 344 8
W 352 8
R 352 8
W 360 8
R 360 8
W 368 8
R 368 8
W 376 8
R 376 8
W 384 8
R 384 8
W 392 8
R 392 8
W 400 8
R 400 8
W 408 8
R 408 8
W 416 8
R 416 8
W 424 8
R 424 8
W 432 8
R 432 8
W 440 8
R 440 8
W 448 8
R 448 8
W 456 8
R 456 8
W 464 8
R 464 8
W 472 8
R 472 8
W 480 8
R 480 8
W 488 8
R 488 8
W 496 8
R 496 8
W 504 8
R 504 8
W 512 8
R 512 8
W 520 8
R 520 8
W 528 8
R 528 8
W 536 8
R 536 8
W 544 8
R 544 8
W 552 8
R 552 8
W 560 8
R 560 8
W 568 8
R 568 8
W 576 8
R 576 8
W 584 8
R 584 8
W 592 8
R 592 8
W 600 8
R 600 8
W 608 8
R 608 8
W 616 8
R 616 8
W 624 8
R 624 8
W 632 8
R 632 8
W 640 8
R 640 8
W 648 8
R 648 8
W 656 8
R 656 8
W 664 8
R 664 8
W 672 8
R 672 8
W 680 8
R 680 8
W 688 8
R 688 8
W 696 8
R 696 8
W 704 8
R 704 8
W 712 8
R 712 8
W 720 8
R 720 8
W 728 8
R 728 8
W 736 8
R 736 8
W 744 8
R 744 8
W 752 8
R 752 8
W 760 8
R 760 8
W 8 4
W 16 4
W 24 4
W 32 4
W 40 4
W 48 4
W 56 4
W 64 4
W 72 4
W 80 4
W 88 4
W 96 4
W 104 4
W 112 4
W 120 4
W 128 4
W 136 4
W 144 4
W 152 4
W 160 4
W 168 4
W 176 4
W 184 4
W 192 4
W 200 4
W 208 4
W 216 4
W 224 4
W 232 4
W 240 4
W 248 4
W 256 4
W 264 4
W 272 4
W 280 4
W 288 4
W 296 4
W 304 4
W 312 4
W 320 4
W 328 4
W 336 4
W 344 4
W 352 4
W 360 4
W 368 4
W 376 4
W 384 4
W 392 4
W 400 4
W 408 4
W 416 4
W 424 4
W 432 4
W 440 4
W 448 4
W 456 4
W 464 4
W 472 4
W 480 4
W 488 4
W 496 4
W 504 4
W 512 4
W 520 4
W 528 4
W 536 4
W 544 4
W 552 4
W 560 4
W 568 4
W 576 4
W 584 4
W 592 4
W 600 4
W 608 4
W 616 4
W 624 4
W 632 4
W 640 4
W 648 4
W 656 4
W 664 4
W 672 4
W 680 4
W 688 4
W 696 4
W 704 4
W 712 4
W 720 4
W 728 4
W 736 4
W 744 4
W 752 4
W 760 4
R 0 32
R 32 32
R 64 32
R 96 32
R 128 32
R 160 32
R 192 32
R 224 32
R 256 32
R 288 32
R 320 32
R 352 32
R 384 32
R 416 32
R 448 32
R 480 32
R 512 32
R 544 32
R 576 32
R 608 32
R 640 32
R 672 32
R 704 32
R 736 32
W 0 26
W 26 15
W 41 5
W 46 23
W 69 15
W 84 27
W 111 12
W 123 18
W 141 23
W 164 21
W 185 8
W 193 3
W 196 27
W 223 13
W 236 17
W 253 29
W 282 15
W 297 9
W 306 4
W 310 27
W 337 22
W 359 27
W 386 10
W 396 20
W 416 24
W 440 22
W 462 6
W 468 24
W 492 13
W 505 2
W 507 22
W 529 31
W 560 22
W 582 21
W 603 17
W 620 5
W 625 20
W 645 31
W 676 31
W 707 1
W 708 19
W 727 9
W 736 12
R 0 26
R 26 5
R 31 1
R 32 10
R 42 1
R 43 14
R 57 2
R 59 25
R 84 11
R 95 9
R 104 4
R 108 12
R 120 1
R 121 24
R 145 13
R 158 7
R 165 10
R 175 7
R 182 26
R 208 22
R 230 19
R 249 23
R 272 7
R 279 32
R 311 22
R 333 28
R 361 11
R 372 7
R 379 6
R 385 6
R 391 10
R 401 29
R 430 2
R 432 6
R 438 9
R 447 30
R 477 25
R 502 30
R 532 7
R 539 8
R 547 14
R 561 30
R 591 3
R 594 26
R 620 7
R 627 10
R 637 29
R 666 3
R 669 10
R 679 11
R 690 9
R 699 13
R 712 20
R 732 7
R 739 10
R 749 9
R 0 64
R 64 64
R 128 64
R 192 64
R 256 64
R 320 64
R 384 64
R 448 64
R 512 64
R 576 64
R 640 64
R 704 64
